Cluster Index,flow_ID,Cluster,Device Name,Flow Key
1,tcp_1,516,360-camera_selfdata,"(('123.125.81.250', 443), ('192.168.1.123', 45965), 6, -4487607195269530185)"
2,tcp_2,146,360-camera_selfdata,"(('123.125.81.250', 80), ('192.168.1.123', 41983), 6, -4487607195269530185)"
3,tcp_3,2697,360-camera_selfdata,"(('123.125.81.250', 443), ('192.168.1.123', 45969), 6, -4487607195269530185)"
4,tcp_4,5340,360-camera_selfdata,"(('123.125.81.250', 443), ('192.168.1.123', 45970), 6, -4487607195269530185)"
5,tcp_5,5466,360-camera_selfdata,"(('192.168.1.123', 38347), ('36.110.233.239', 443), 6, -4487607195269530185)"
6,tcp_6,516,360-camera_selfdata,"(('123.125.81.250', 443), ('192.168.1.123', 45972), 6, -4487607195269530185)"
7,tcp_7,457,360-camera_selfdata,"(('101.199.97.246', 443), ('192.168.1.123', 56755), 6, -4487607195269530185)"
8,tcp_8,2697,360-camera_selfdata,"(('101.199.97.246', 443), ('192.168.1.123', 56756), 6, -4487607195269530185)"
9,tcp_9,516,360-camera_selfdata,"(('123.125.81.250', 443), ('192.168.1.123', 45976), 6, -4487607195269530185)"
10,tcp_10,665,360-camera_selfdata,"(('101.199.97.246', 443), ('192.168.1.123', 56759), 6, -4487607195269530185)"
11,tcp_11,516,360-camera_selfdata,"(('123.125.81.250', 443), ('192.168.1.123', 45979), 6, -4487607195269530185)"
12,tcp_12,3339,360-camera_selfdata,"(('123.125.81.112', 80), ('192.168.1.123', 47204), 6, -4487607195269530185)"
13,tcp_13,385,360-camera_selfdata,"(('192.168.1.123', 50780), ('27.115.124.147', 443), 6, -4487607195269530185)"
14,tcp_14,2949,360-camera_selfdata,"(('101.199.129.76', 80), ('192.168.1.123', 52769), 6, -4487607195269530185)"
15,tcp_15,805,360-camera_selfdata,"(('180.163.246.107', 443), ('192.168.1.123', 48595), 6, -4487607195269530185)"
16,tcp_16,52,360-camera_selfdata,"(('101.199.97.246', 443), ('192.168.1.123', 56769), 6, -4487607195269530185)"
17,tcp_17,52,360-camera_selfdata,"(('101.199.97.246', 443), ('192.168.1.123', 56770), 6, -4487607195269530185)"
18,tcp_18,5179,360-camera_selfdata,"(('192.168.1.123', 52816), ('47.101.88.40', 443), 6, -4487607195269530185)"
19,tcp_19,5312,360-camera_selfdata,"(('101.199.97.246', 443), ('192.168.1.123', 56772), 6, -4487607195269530185)"
20,tcp_20,4843,360-camera_selfdata,"(('101.199.97.246', 443), ('192.168.1.123', 56773), 6, -4487607195269530185)"
21,tcp_21,3869,360-camera_selfdata,"(('192.168.1.123', 46024), ('47.101.88.30', 443), 6, -4487607195269530185)"
22,tcp_22,52,360-camera_selfdata,"(('101.199.97.246', 443), ('192.168.1.123', 56775), 6, -4487607195269530185)"
23,tcp_23,52,360-camera_selfdata,"(('101.199.97.246', 443), ('192.168.1.123', 56776), 6, -4487607195269530185)"
24,tcp_24,3176,360-camera_selfdata,"(('192.168.1.123', 47794), ('47.95.85.32', 443), 6, -4487607195269530185)"
25,tcp_25,138,360-camera_selfdata,"(('140.206.78.244', 80), ('192.168.1.123', 56546), 6, -4487607195269530185)"
26,tcp_26,138,360-camera_selfdata,"(('123.6.45.11', 80), ('192.168.1.123', 42555), 6, -4487607195269530185)"
27,tcp_27,1603,360-camera_selfdata,"(('192.168.1.123', 47798), ('47.95.85.32', 443), 6, -4487607195269530185)"
28,tcp_28,1603,360-camera_selfdata,"(('192.168.1.123', 47799), ('47.95.85.32', 443), 6, -4487607195269530185)"
29,tcp_29,309,Allure-speaker_Mon,"(('192.168.20.132', 53379), ('54.239.29.142', 443), 6, 3780589867059189442)"
30,tcp_30,4517,Allure-speaker_Mon,"(('192.168.20.132', 34702), ('54.239.38.218', 443), 6, 3780589867059189442)"
31,tcp_31,3015,Allure-speaker_Mon,"(('192.168.20.132', 35046), ('54.239.38.218', 443), 6, 3780589867059189442)"
32,tcp_32,5480,Allure-speaker_Mon,"(('192.168.20.132', 43856), ('52.94.216.73', 443), 6, 3780589867059189442)"
33,tcp_33,117,Allure-speaker_Mon,"(('192.168.20.132', 41049), ('54.239.38.218', 443), 6, 3780589867059189442)"
34,tcp_34,4811,Allure-speaker_Mon,"(('192.168.20.132', 41402), ('54.239.38.218', 443), 6, 3780589867059189442)"
35,tcp_35,977,Allure-speaker_Mon,"(('192.168.20.132', 55743), ('52.94.216.73', 443), 6, 3780589867059189442)"
36,tcp_36,977,Allure-speaker_Mon,"(('192.168.20.132', 42042), ('54.239.38.218', 443), 6, 3780589867059189442)"
37,tcp_37,4703,Allure-speaker_Mon,"(('192.168.20.132', 51889), ('54.239.39.74', 443), 6, 3780589867059189442)"
38,tcp_38,117,Allure-speaker_Mon,"(('192.168.20.132', 56717), ('52.94.216.73', 443), 6, 3780589867059189442)"
39,tcp_39,3687,Allure-speaker_Mon,"(('192.168.20.132', 52533), ('54.239.39.74', 443), 6, 3780589867059189442)"
40,tcp_40,3042,Allure-speaker_Mon,"(('192.168.20.132', 43348), ('54.239.38.218', 443), 6, 3780589867059189442)"
41,tcp_41,1352,Allure-speaker_Mon,"(('192.168.20.132', 43646), ('54.239.38.218', 443), 6, 3780589867059189442)"
